0.24,3492,858,371,235,141,109,72,62,64,47,39,30,27,28,29,23,14,14,10,9,17,6,6,15,7,15,4,11,3,1,6,5,7,2,5,3,0,5,4,0,4,5,0,5,0,5,0,7,0,0,5,0,8,0,0,0,0,0,6,0,0,0,3,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
0.25,3348,747,311,200,132,109,71,59,46,40,36,28,19,19,18,20,31,14,19,15,18,10,6,10,6,11,7,7,8,7,7,6,6,2,3,8,0,9,6,0,8,7,0,3,0,0,0,4,0,0,5,0,3,0,0,3,0,1,3,0,0,0,5,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0.26,3008,754,314,196,106,83,75,55,44,33,34,17,28,28,18,11,15,16,10,7,11,10,12,7,10,7,8,14,3,5,3,8,2,2,2,5,0,4,5,0,2,1,0,5,0,3,0,3,0,0,2,0,5,0,0,4,0,0,7,0,0,0,2,0,0,0,2,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0.27,2745,662,287,146,121,76,77,65,46,40,28,15,28,17,24,10,21,8,14,8,15,9,13,8,5,4,3,7,3,8,8,1,5,6,0,7,0,4,6,0,3,5,0,2,1,4,0,4,0,0,4,0,4,0,0,6,0,0,2,0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.28,2676,594,266,159,118,81,76,53,41,32,42,17,17,16,14,11,11,10,9,6,10,7,11,6,5,6,2,5,4,5,4,5,6,6,3,2,0,2,5,0,4,1,0,6,0,6,0,2,0,0,6,0,1,0,0,1,0,0,5,0,0,0,5,0,0,0,3,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0.29,2422,567,242,141,109,97,64,45,34,35,32,26,22,23,18,17,15,10,11,12,12,8,7,7,6,6,3,6,3,0,7,5,3,3,4,7,0,7,2,0,3,3,0,2,0,1,1,4,0,0,3,0,4,0,0,3,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0.3,2299,554,213,139,102,80,53,43,32,22,25,23,10,15,20,10,12,10,8,2,7,8,9,6,5,9,3,9,4,4,4,3,5,2,5,5,0,3,1,0,5,4,0,1,0,5,0,1,0,0,3,0,4,0,0,4,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0.31,2053,512,226,136,91,78,57,29,26,26,23,21,16,13,19,7,16,5,13,2,13,7,7,8,1,6,3,7,3,4,3,2,2,2,4,3,0,4,2,0,6,5,0,2,0,2,0,2,0,0,0,0,4,0,0,4,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.32,2016,464,202,129,79,63,48,33,25,20,29,17,20,17,19,9,9,9,11,7,10,8,4,11,3,8,3,7,8,1,1,6,2,3,6,2,0,2,0,1,3,3,0,2,0,2,0,1,0,0,2,0,2,0,0,5,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
0.33,1862,425,187,110,93,63,51,39,31,25,34,15,15,10,12,10,12,6,5,5,4,8,3,8,4,4,3,4,2,4,0,7,4,3,2,1,0,2,7,0,6,5,0,0,0,1,0,5,0,0,1,0,4,0,0,4,0,0,2,0,0,0,3,0,0,0,4,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0.34,1800,386,181,123,69,57,50,24,26,21,19,18,15,16,12,5,14,9,5,8,11,7,4,2,3,5,3,2,4,1,3,6,0,2,2,2,1,4,3,0,3,2,0,5,0,0,0,4,0,0,6,0,4,0,0,2,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0.35,1637,409,178,98,75,65,37,34,23,29,26,19,17,13,14,10,9,10,3,10,6,11,5,4,2,2,3,2,1,1,4,1,2,2,1,2,0,2,2,0,4,3,0,3,0,0,0,2,0,0,3,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,1,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0.36,1534,388,166,88,64,57,46,26,19,19,13,11,14,16,12,10,4,6,8,5,9,5,11,5,1,7,3,4,2,4,3,2,7,3,2,0,0,0,0,0,2,3,0,0,0,2,0,5,0,0,2,0,5,0,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
