36,2053,369,186,107,66,47,45,37,23,25,21,12,12,6,10,12,16,4,13,11,4,6,9,3,8,5,7,2,7,5,3,2,1,2,2,0,2,0,1,4,1,5,1,3,0,0,4,2,2,6,0,3,2,1,3,4,1,0,0,1
37,1284,110,28,13,9,4,1,3,1,2,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2128,382,181,119,62,63,33,32,30,13,16,16,15,9,2,13,9,8,7,10,4,3,2,5,9,4,4,2,7,3,4,2,2,4,2,0,1,1,1,3,1,4,1,1,0,3,1,1,2,2,0,1,2,0,2,1,2,0,3,4
39,1684,325,119,86,58,42,44,33,23,23,15,10,17,10,8,5,13,7,11,9,2,7,5,4,6,5,6,5,2,1,2,0,7,3,2,0,1,3,5,3,4,0,1,3,2,0,1,2,1,3,2,1,0,0,1,3,2,1,1,4
40,885,88,20,16,6,5,3,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1919,352,163,95,44,49,45,28,14,25,16,17,12,8,16,6,4,8,9,8,4,6,5,4,8,2,3,4,3,5,6,3,6,3,4,2,4,4,2,0,2,5,1,1,3,2,3,2,2,2,3,2,0,1,1,1,2,5,0,1
42,1500,274,129,76,64,44,35,29,27,21,13,15,14,16,8,10,3,7,7,7,3,7,2,5,7,1,5,1,3,4,5,3,5,2,3,3,4,2,0,0,2,1,0,1,3,2,2,1,0,1,4,5,1,2,0,2,1,2,0,2
43,951,92,27,10,2,3,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1.28E+03,278,127,88,44,45,35,23,18,22,13,16,9,8,10,5,8,10,7,8,6,4,3,5,3,5,2,6,2,1,2,2,0,5,3,0,3,6,0,1,1,2,4,1,4,0,0,1,0,0,2,3,0,1,1,0,1,1,2,2
45,837,102,26,11,5,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1184,257,118,86,46,32,51,27,24,19,13,20,17,8,11,12,10,8,8,6,3,4,7,5,0,3,4,6,1,5,2,2,1,0,0,2,1,2,2,3,3,3,1,0,2,2,2,3,0,1,4,1,1,2,3,2,2,2,4,1
4.70E+01,7.59E+02,81,23,9,6,4,2,1,0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4.80E+01,1.10E+03,236,130,63,60,47,30,19,19,19,13,12,11,10,12,3,12,10,4,7,5,3,9,7,4,3,4,2,4,1,2,1,5,4,2,5,0,4,3,3,3,4,2,1,0,0,2,2,1,2,2,2,1,1,5,1,0,1,0,2
4.90E+01,6.31E+02,66,23,11,6,3,3,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,293,22,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1145,264,102,77,43,36,29,26,16,18,21,7,6,9,10,9,6,6,7,6,1,7,3,5,5,2,4,6,3,3,0,2,1,6,3,2,3,5,3,2,0,5,0,1,5,1,2,4,1,2,1,3,2,0,2,1,2,0,4,1
52,586,73,19,15,5,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,851,214,102,65,37,40,35,30,28,11,12,13,9,12,7,6,7,10,7,5,3,3,7,8,3,5,4,1,4,4,4,2,4,4,0,5,2,0,2,0,1,2,3,1,2,2,0,2,1,0,3,2,2,0,1,1,1,0,1,0
54,258,17,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,526,79,19,10,3,3,2,0,2,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
